label,V1,V2
1,2.570053071,2.51123497
1,4.003980835,2.735941287
1,4.940576795,6.514779294
1,9.904630105,2.008172371
1,6.874049921,6.085698251
-1,1.304693623,3.046072782
1,0.536733307,9.242065453
1,5.100629479,9.39420352
1,9.567141708,1.165661539
1,1.33799385,6.596011142
1,6.019543682,6.315409387
1,9.476091624,5.09269499
1,5.816281566,8.78324073
1,4.538624729,1.275290328
1,7.688669583,9.311449048
-1,3.43242767,1.544355028
1,4.194688951,5.018275112
-1,0.619931908,1.965223707
1,7.506088456,2.827138549
1,6.016563454,5.142589463
1,9.95500904,1.702629859
-1,1.513607297,0.633513988
1,6.748088796,3.362143168
1,9.226962454,9.280683186
1,7.273239838,0.014807088
1,2.330319341,9.80651116
-1,1.709853204,0.890784638
1,7.434667363,8.987983554
1,0.062851291,9.662471756
1,2.168272012,9.916501236
1,2.749418023,7.388564658
1,6.282480948,6.789277329
1,5.77533127,9.820101971
1,4.935977054,9.151724665
1,5.086389368,2.800106686
1,6.643485338,9.937280654
1,0.121751921,7.44817897
1,7.526962154,4.324367424
1,0.6819634,9.14698771
1,5.352884538,8.288861313
1,8.366635405,4.533117842
1,7.916752531,9.555963909
1,6.70323445,4.904169657
1,8.888714334,9.645819312
1,5.544840158,0.288831037
1,1.733601559,6.893391288
-1,1.349685253,3.307808768
1,4.233419776,7.746714302
1,8.01967033,3.172186692
1,5.824262712,9.82341795
1,9.94463844,9.344980561
1,6.386702193,6.90002339
1,5.21630415,9.047789422
1,8.776966566,9.917170207
1,7.878349195,6.962773018
1,8.830790105,9.713338246
-1,2.374573068,1.89746276
1,1.334265426,7.497502561
1,9.373213127,0.01286343
1,8.36522175,2.307437649
1,7.528998132,8.282536906
1,8.528022906,4.605743831
1,8.067881041,3.456247407
1,7.179470486,4.882748113
1,9.316037756,9.987927268
1,5.175758929,6.254575436
1,1.561049202,7.512218652
1,9.4071136,5.135277009
1,8.185552612,1.078836245
1,5.403783356,3.121350678
1,6.948537023,6.527744052
1,7.914692515,1.118481015
1,0.231287349,8.824762376
1,6.136927092,2.225636668
1,7.257734009,5.185838933
1,6.677062358,0.032684286
1,6.703136829,3.998749952
1,7.817171882,9.538222954
1,3.984638699,9.030267503
1,0.404724181,9.305160895
1,0.910849092,7.199856457
-1,1.742820879,2.250041584
1,6.588727266,0.399800953
1,2.537930685,6.800150173
1,6.579076308,3.420697991
1,4.663040044,1.05910792
1,9.977939352,2.331136956
1,0.20890383,8.921120861
1,5.290095964,5.139062777
1,0.021149975,8.596676895
1,7.05549855,6.729584225
-1,1.358911279,0.550227773
1,8.547275867,2.26363369
1,3.363851218,4.842306317
-1,2.305985608,2.316511786
1,7.61487029,4.452682789
1,6.081377729,6.885546693
1,6.687525846,5.841462968
1,9.645067614,8.715232923
1,4.426697725,1.325002641
1,5.785705573,9.853692483
1,5.74234223,1.911498886
-1,3.09437979,0.37684961
1,8.197037552,6.900585203
1,7.49786935,7.808389906
1,6.333623673,8.633704826
-1,1.28567778,3.530159106
1,4.096719222,6.7920463
1,4.553393407,6.156505528
1,7.3282233,6.361866698
1,3.135317832,9.708641795
1,5.010283412,7.865516858
1,9.865341824,2.784842271
1,6.125322292,6.339286075
-1,2.857585303,1.810652628
1,3.540731871,2.898373215
1,8.964397043,4.852203545
1,8.03401229,4.955861287
1,9.901356138,1.366771061
1,0.259183203,7.126842136
1,9.177278581,9.410539258
1,3.977348895,7.401637177
1,9.89550096,0.117093921
1,0.725563967,6.610334853
1,5.74353928,9.227521899
1,8.154175624,8.315166717
-1,2.37236863,1.829801297
-1,1.624002282,1.782945942
1,6.326747211,5.654233438
1,1.491870561,6.152908108
1,5.229355856,3.05823927
1,5.170532125,8.702416858
1,2.788214502,6.18887594
1,4.101167298,6.396969412
1,3.64529317,8.055480239
1,8.839967668,2.7386971
1,1.302572489,7.107497046
1,4.45455387,7.395171558
1,5.903379845,0.794398079
-1,1.332513171,0.594594837
-1,2.160517515,2.091943063
1,4.321970968,1.041879954
1,2.008248284,6.883015644
1,4.278054191,1.80478188
1,8.229801762,2.417488974
1,7.023690445,1.11122549
1,5.810776427,0.616344202
